Komoditas;Tanggal;Harga
Cabai Merah;04/01/2021;57,5
Cabai Merah;05/01/2021;57,35
Cabai Merah;06/01/2021;56,35
Cabai Merah;07/01/2021;55,9
Cabai Merah;08/01/2021;54,9
Cabai Merah;11/01/2021;52,85
Cabai Merah;12/01/2021;52,65
Cabai Merah;13/01/2021;51,8
Cabai Merah;14/01/2021;51,25
Cabai Merah;15/01/2021;51,35
Cabai Merah;18/01/2021;52,4
Cabai Merah;19/01/2021;52,05
Cabai Merah;20/01/2021;51,55
Cabai Merah;21/01/2021;50,55
Cabai Merah;22/01/2021;49,7
Cabai Merah;25/01/2021;47,6
Cabai Merah;26/01/2021;47,55
Cabai Merah;27/01/2021;46,95
Cabai Merah;28/01/2021;46,7
Cabai Merah;29/01/2021;47,65
Cabai Merah;01/02/2021;48,35
Cabai Merah;02/02/2021;49,25
Cabai Merah;03/02/2021;50,3
Cabai Merah;04/02/2021;50,55
Cabai Merah;05/02/2021;50,8
Cabai Merah;08/02/2021;50,85
Cabai Merah;09/02/2021;50,75
Cabai Merah;10/02/2021;50,25
Cabai Merah;11/02/2021;50,75
Cabai Merah;12/02/2021;43,15
Cabai Merah;15/02/2021;49,05
Cabai Merah;16/02/2021;48,35
Cabai Merah;17/02/2021;48,2
Cabai Merah;18/02/2021;48
Cabai Merah;19/02/2021;47,6
Cabai Merah;22/02/2021;47,1
Cabai Merah;23/02/2021;46,6
Cabai Merah;24/02/2021;46,4
Cabai Merah;25/02/2021;46,35
Cabai Merah;26/02/2021;46,5
Cabai Merah;01/03/2021;46,8
Cabai Merah;02/03/2021;47,05
Cabai Merah;03/03/2021;47,4
Cabai Merah;04/03/2021;47,2
Cabai Merah;05/03/2021;47,55
Cabai Merah;08/03/2021;47,95
Cabai Merah;09/03/2021;48,4
Cabai Merah;10/03/2021;48,3
Cabai Merah;11/03/2021;69,55
Cabai Merah;12/03/2021;48,65
Cabai Merah;15/03/2021;49,4
Cabai Merah;16/03/2021;49,3
Cabai Merah;17/03/2021;49,35
Cabai Merah;18/03/2021;49,3
Cabai Merah;19/03/2021;49,2
Cabai Merah;22/03/2021;48,95
Cabai Merah;23/03/2021;48,9
Cabai Merah;24/03/2021;49,3
Cabai Merah;25/03/2021;49,5
Cabai Merah;26/03/2021;49,95
Cabai Merah;29/03/2021;50,2
Cabai Merah;30/03/2021;50,05
Cabai Merah;31/03/2021;50,2
Cabai Merah;01/04/2021;50,1
Cabai Merah;02/04/2021;51,9
Cabai Merah;05/04/2021;50,95
Cabai Merah;06/04/2021;51
Cabai Merah;07/04/2021;50,65
Cabai Merah;08/04/2021;50,75
Cabai Merah;09/04/2021;50,4
Cabai Merah;12/04/2021;52,35
Cabai Merah;13/04/2021;52,05
Cabai Merah;14/04/2021;52,85
Cabai Merah;15/04/2021;53,25
Cabai Merah;16/04/2021;52,65
Cabai Merah;19/04/2021;50,05
Cabai Merah;20/04/2021;49,25
Cabai Merah;21/04/2021;48,6
Cabai Merah;22/04/2021;47,25
Cabai Merah;23/04/2021;46,2
Cabai Merah;26/04/2021;43,1
Cabai Merah;27/04/2021;42
Cabai Merah;28/04/2021;41,4
Cabai Merah;29/04/2021;40,7
Cabai Merah;30/04/2021;40,15
Cabai Merah;03/05/2021;39,9
Cabai Merah;04/05/2021;40,15
Cabai Merah;05/05/2021;40,3
Cabai Merah;06/05/2021;40,95
Cabai Merah;07/05/2021;41,1
Cabai Merah;10/05/2021;47,5
Cabai Merah;11/05/2021;48,5
Cabai Merah;17/05/2021;45,35
Cabai Merah;18/05/2021;43,5
Cabai Merah;19/05/2021;42
Cabai Merah;20/05/2021;40,45
Cabai Merah;21/05/2021;39,5
Cabai Merah;24/05/2021;37,2
Cabai Merah;25/05/2021;36,85
Cabai Merah;26/05/2021;38,85
Cabai Merah;27/05/2021;35,85
Cabai Merah;28/05/2021;35,35
Cabai Merah;31/05/2021;34,1
Cabai Merah;01/06/2021;45,4
Cabai Merah;02/06/2021;33,8
Cabai Merah;03/06/2021;33,6
Cabai Merah;04/06/2021;33,9
Cabai Merah;07/06/2021;33,85
Cabai Merah;08/06/2021;33,55
Cabai Merah;09/06/2021;33,7
Cabai Merah;10/06/2021;33,7
Cabai Merah;11/06/2021;33,75
Cabai Merah;14/06/2021;33,2
Cabai Merah;15/06/2021;32,65
Cabai Merah;16/06/2021;32,5
Cabai Merah;17/06/2021;32,5
Cabai Merah;18/06/2021;32,4
Cabai Merah;21/06/2021;32,8
Cabai Merah;22/06/2021;32,7
Cabai Merah;23/06/2021;32,85
Cabai Merah;24/06/2021;32,9
Cabai Merah;25/06/2021;33,6
Cabai Merah;28/06/2021;34,05
Cabai Merah;29/06/2021;34,1
Cabai Merah;30/06/2021;34,45
Cabai Merah;01/07/2021;34,85
Cabai Merah;02/07/2021;35,25
Cabai Merah;05/07/2021;36,5
Cabai Merah;06/07/2021;36,45
Cabai Merah;07/07/2021;37,05
Cabai Merah;08/07/2021;37,05
Cabai Merah;09/07/2021;37,3
Cabai Merah;12/07/2021;37,2
Cabai Merah;13/07/2021;37,15
Cabai Merah;14/07/2021;37,2
Cabai Merah;15/07/2021;37,3
Cabai Merah;16/07/2021;37,75
Cabai Merah;19/07/2021;42,35
Cabai Merah;20/07/2021;70
Cabai Merah;21/07/2021;42,65
Cabai Merah;22/07/2021;42,3
Cabai Merah;23/07/2021;42,25
Cabai Merah;26/07/2021;38,2
Cabai Merah;27/07/2021;37,3
Cabai Merah;28/07/2021;36,5
Cabai Merah;29/07/2021;35,6
Cabai Merah;30/07/2021;34,75
Cabai Merah;02/08/2021;33,2
Cabai Merah;03/08/2021;32,85
Cabai Merah;04/08/2021;32,35
Cabai Merah;05/08/2021;32,45
Cabai Merah;06/08/2021;31,95
Cabai Merah;09/08/2021;31,45
Cabai Merah;10/08/2021;31,4
Cabai Merah;11/08/2021;17,5
Cabai Merah;12/08/2021;31,05
Cabai Merah;13/08/2021;30,85
Cabai Merah;16/08/2021;30,15
Cabai Merah;17/08/2021;43,75
Cabai Merah;18/08/2021;30,2
Cabai Merah;19/08/2021;29,95
Cabai Merah;20/08/2021;29,7
Cabai Merah;23/08/2021;28,7
Cabai Merah;24/08/2021;28,45
Cabai Merah;25/08/2021;28,25
Cabai Merah;26/08/2021;28,35
Cabai Merah;27/08/2021;28,15
Cabai Merah;30/08/2021;28,5
Cabai Merah;31/08/2021;28,65
Cabai Merah;01/09/2021;28,9
Cabai Merah;02/09/2021;28,9
Cabai Merah;03/09/2021;28,85
Cabai Merah;06/09/2021;28,55
Cabai Merah;07/09/2021;28,25
Cabai Merah;08/09/2021;28,35
Cabai Merah;09/09/2021;28,6
Cabai Merah;10/09/2021;28,4
Cabai Merah;13/09/2021;28
Cabai Merah;14/09/2021;28,2
Cabai Merah;15/09/2021;28,25
Cabai Merah;16/09/2021;28,5
Cabai Merah;17/09/2021;28,45
Cabai Merah;20/09/2021;28,7
Cabai Merah;21/09/2021;28,85
Cabai Merah;22/09/2021;28,9
Cabai Merah;23/09/2021;28,95
Cabai Merah;24/09/2021;29,15
Cabai Merah;27/09/2021;29,8
Cabai Merah;28/09/2021;30,25
Cabai Merah;29/09/2021;30,35
Cabai Merah;30/09/2021;30,35
Cabai Merah;01/10/2021;30,7
Cabai Merah;04/10/2021;33,35
Cabai Merah;05/10/2021;33,9
Cabai Merah;06/10/2021;33,8
Cabai Merah;07/10/2021;34,2
Cabai Merah;08/10/2021;34,25
Cabai Merah;11/10/2021;34,15
Cabai Merah;12/10/2021;34,25
Cabai Merah;13/10/2021;34,65
Cabai Merah;14/10/2021;34,85
Cabai Merah;15/10/2021;34,7
Cabai Merah;18/10/2021;34,2
Cabai Merah;19/10/2021;34,3
Cabai Merah;20/10/2021;51,25
Cabai Merah;21/10/2021;34,4
Cabai Merah;22/10/2021;34,75
Cabai Merah;25/10/2021;35,45
Cabai Merah;26/10/2021;35,4
Cabai Merah;27/10/2021;35,35
Cabai Merah;28/10/2021;35,35
Cabai Merah;29/10/2021;35,55
Cabai Merah;01/11/2021;36,1
Cabai Merah;02/11/2021;36,1
Cabai Merah;03/11/2021;36,5
Cabai Merah;04/11/2021;37,1
Cabai Merah;05/11/2021;38,1
Cabai Merah;08/11/2021;39,65
Cabai Merah;09/11/2021;40,45
Cabai Merah;10/11/2021;41,7
Cabai Merah;11/11/2021;41,35
Cabai Merah;12/11/2021;41,5
Cabai Merah;15/11/2021;41,9
Cabai Merah;16/11/2021;41,85
Cabai Merah;17/11/2021;42
Cabai Merah;18/11/2021;41,75
Cabai Merah;19/11/2021;41,6
Cabai Merah;22/11/2021;42
Cabai Merah;23/11/2021;42,1
Cabai Merah;24/11/2021;41,8
Cabai Merah;25/11/2021;42,05
Cabai Merah;26/11/2021;42,3
Cabai Merah;29/11/2021;42,55
Cabai Merah;30/11/2021;42,8
Cabai Merah;01/12/2021;43,2
Cabai Merah;02/12/2021;43,6
Cabai Merah;03/12/2021;44,3
Cabai Merah;06/12/2021;46,65
Cabai Merah;07/12/2021;47,2
Cabai Merah;08/12/2021;48
Cabai Merah;09/12/2021;48,55
Cabai Merah;10/12/2021;49,9
Cabai Merah;13/12/2021;51,45
Cabai Merah;14/12/2021;51,75
Cabai Merah;15/12/2021;50,85
Cabai Merah;16/12/2021;51,8
Cabai Merah;17/12/2021;51,6
Cabai Merah;20/12/2021;50,75
Cabai Merah;21/12/2021;50,7
Cabai Merah;22/12/2021;50,75
Cabai Merah;23/12/2021;50,35
Cabai Merah;24/12/2021;50,65
Cabai Merah;27/12/2021;51,25
Cabai Merah;28/12/2021;51
Cabai Merah;29/12/2021;50,3
Cabai Merah;30/12/2021;49,15
Cabai Merah;31/12/2021;48,65
Cabai Merah;03/01/2022;47,5
Cabai Merah;04/01/2022;47,05
Cabai Merah;05/01/2022;46,45
Cabai Merah;06/01/2022;45,6
Cabai Merah;07/01/2022;44,55
Cabai Merah;10/01/2022;42,75
Cabai Merah;11/01/2022;41,45
Cabai Merah;12/01/2022;40,75
Cabai Merah;13/01/2022;39,9
Cabai Merah;14/01/2022;39,55
Cabai Merah;17/01/2022;39,7
Cabai Merah;18/01/2022;39,75
Cabai Merah;19/01/2022;39,9
Cabai Merah;20/01/2022;39,95
Cabai Merah;21/01/2022;39,65
Cabai Merah;24/01/2022;39,3
Cabai Merah;25/01/2022;39,2
Cabai Merah;26/01/2022;38,65
Cabai Merah;27/01/2022;38,75
Cabai Merah;28/01/2022;38,8
Cabai Merah;31/01/2022;38,05
Cabai Merah;01/02/2022;19
Cabai Merah;02/02/2022;38
Cabai Merah;03/02/2022;37,8
Cabai Merah;04/02/2022;37,35
Cabai Merah;07/02/2022;38,65
Cabai Merah;08/02/2022;39,1
Cabai Merah;09/02/2022;39,7
Cabai Merah;10/02/2022;40
Cabai Merah;11/02/2022;40,45
Cabai Merah;14/02/2022;42,6
Cabai Merah;15/02/2022;43,05
Cabai Merah;16/02/2022;43,45
Cabai Merah;17/02/2022;43,65
Cabai Merah;18/02/2022;43,35
Cabai Merah;21/02/2022;45,3
Cabai Merah;22/02/2022;46,1
Cabai Merah;23/02/2022;47,05
Cabai Merah;24/02/2022;47,45
Cabai Merah;25/02/2022;48
Cabai Merah;01/03/2022;50,1
Cabai Merah;02/03/2022;50,8
Cabai Merah;04/03/2022;51,85
Cabai Merah;07/03/2022;54,2
Cabai Merah;08/03/2022;54,15
Cabai Merah;09/03/2022;53,95
Cabai Merah;10/03/2022;53,75
Cabai Merah;11/03/2022;53,85
Cabai Merah;14/03/2022;54,35
Cabai Merah;15/03/2022;54,45
Cabai Merah;16/03/2022;54,3
Cabai Merah;17/03/2022;54,55
Cabai Merah;18/03/2022;55,05
Cabai Merah;21/03/2022;54,75
Cabai Merah;22/03/2022;54,3
Cabai Merah;23/03/2022;54,1
Cabai Merah;24/03/2022;53,3
Cabai Merah;25/03/2022;52,45
Cabai Merah;28/03/2022;52,05
Cabai Merah;29/03/2022;50,85
Cabai Merah;30/03/2022;51,2
Cabai Merah;31/03/2022;51,1
Cabai Merah;01/04/2022;51,3
Cabai Merah;04/04/2022;56,55
Cabai Merah;05/04/2022;56,15
Cabai Merah;06/04/2022;55,45
Cabai Merah;07/04/2022;54,5
Cabai Merah;08/04/2022;53,5
Cabai Merah;11/04/2022;51,15
Cabai Merah;12/04/2022;50,3
Cabai Merah;13/04/2022;49,4
Cabai Merah;14/04/2022;47,85
Cabai Merah;15/04/2022;45,6
Cabai Merah;18/04/2022;45,3
Cabai Merah;19/04/2022;45,1
Cabai Merah;20/04/2022;44,6
Cabai Merah;21/04/2022;44,05
Cabai Merah;22/04/2022;43,65
Cabai Merah;25/04/2022;45,55
Cabai Merah;26/04/2022;46,5
Cabai Merah;27/04/2022;47,95
Cabai Merah;28/04/2022;49,2
Cabai Merah;29/04/2022;46,4
Cabai Merah;04/05/2022;53,15
Cabai Merah;05/05/2022;78,75
Cabai Merah;06/05/2022;80
Cabai Merah;09/05/2022;45,8
Cabai Merah;10/05/2022;45,35
Cabai Merah;11/05/2022;44,7
Cabai Merah;12/05/2022;44,6
Cabai Merah;13/05/2022;43,95
Cabai Merah;16/05/2022;51,5
Cabai Merah;17/05/2022;44,85
Cabai Merah;18/05/2022;45,35
Cabai Merah;19/05/2022;45,8
Cabai Merah;20/05/2022;46,05
Cabai Merah;23/05/2022;47,45
Cabai Merah;24/05/2022;48,45
Cabai Merah;25/05/2022;48,75
Cabai Merah;27/05/2022;50,35
Cabai Merah;30/05/2022;53,4
Cabai Merah;31/05/2022;54,35
Cabai Merah;02/06/2022;55,1
Cabai Merah;03/06/2022;55
Cabai Merah;06/06/2022;57,55
Cabai Merah;07/06/2022;58,85
Cabai Merah;08/06/2022;60,2
Cabai Merah;09/06/2022;62,2
Cabai Merah;10/06/2022;63,25
Cabai Merah;13/06/2022;68,9
Cabai Merah;14/06/2022;70,2
Cabai Merah;15/06/2022;71,65
Cabai Merah;16/06/2022;71,8
Cabai Merah;17/06/2022;72
Cabai Merah;20/06/2022;73,35
Cabai Merah;21/06/2022;73,6
Cabai Merah;22/06/2022;73,95
Cabai Merah;23/06/2022;73,85
Cabai Merah;24/06/2022;73,75
Cabai Merah;27/06/2022;76,15
Cabai Merah;28/06/2022;75,6
Cabai Merah;29/06/2022;74,8
Cabai Merah;30/06/2022;74,65
Cabai Merah;01/07/2022;75,05
Cabai Merah;04/07/2022;78,9
Cabai Merah;05/07/2022;80,15
Cabai Merah;06/07/2022;80,45
Cabai Merah;07/07/2022;80,9
Cabai Merah;08/07/2022;82,6
Cabai Merah;11/07/2022;87,65
Cabai Merah;12/07/2022;89,05
Cabai Merah;13/07/2022;87,4
Cabai Merah;14/07/2022;84,8
Cabai Merah;15/07/2022;83,25
Cabai Merah;18/07/2022;81,45
Cabai Merah;19/07/2022;80,75
Cabai Merah;20/07/2022;80,05
Cabai Merah;21/07/2022;78,65
Cabai Merah;22/07/2022;77,95
Cabai Merah;25/07/2022;75,55
Cabai Merah;26/07/2022;75,05
Cabai Merah;27/07/2022;73,95
Cabai Merah;28/07/2022;74,2
Cabai Merah;29/07/2022;73,6
Cabai Merah;01/08/2022;71,3
Cabai Merah;02/08/2022;70,75
Cabai Merah;03/08/2022;70,2
Cabai Merah;04/08/2022;69,55
Cabai Merah;05/08/2022;69,2
Cabai Merah;08/08/2022;69,05
Cabai Merah;09/08/2022;68,75
Cabai Merah;10/08/2022;68,15
Cabai Merah;11/08/2022;66,9
Cabai Merah;12/08/2022;65,7
Cabai Merah;15/08/2022;63,7
Cabai Merah;16/08/2022;63,2
Cabai Merah;17/08/2022;65,45
Cabai Merah;18/08/2022;63,25
Cabai Merah;19/08/2022;63
Cabai Merah;22/08/2022;61,85
Cabai Merah;23/08/2022;60,9
Cabai Merah;24/08/2022;60,45
Cabai Merah;25/08/2022;60,35
Cabai Merah;26/08/2022;60,25
Cabai Merah;29/08/2022;61,15
Cabai Merah;30/08/2022;61,65
Cabai Merah;31/08/2022;62,1
Cabai Merah;01/09/2022;62,4
Cabai Merah;02/09/2022;62,9
Cabai Merah;05/09/2022;69
Cabai Merah;06/09/2022;70,15
Cabai Merah;07/09/2022;71,2
Cabai Merah;08/09/2022;70,75
Cabai Merah;09/09/2022;70,05
Cabai Merah;12/09/2022;66,2
Cabai Merah;13/09/2022;65,5
Cabai Merah;14/09/2022;63,85
Cabai Merah;15/09/2022;63,4
Cabai Merah;16/09/2022;62,55
Cabai Merah;19/09/2022;61,2
Cabai Merah;20/09/2022;60,75
Cabai Merah;21/09/2022;59,9
Cabai Merah;22/09/2022;58,6
Cabai Merah;23/09/2022;57,4
Cabai Merah;26/09/2022;54,45
Cabai Merah;27/09/2022;53,8
Cabai Merah;28/09/2022;52,55
Cabai Merah;29/09/2022;51,65
Cabai Merah;30/09/2022;51,3
Cabai Merah;03/10/2022;50,55
Cabai Merah;04/10/2022;50,3
Cabai Merah;05/10/2022;50,8
Cabai Merah;06/10/2022;50,3
Cabai Merah;07/10/2022;50,6
Cabai Merah;10/10/2022;52
Cabai Merah;11/10/2022;51,55
Cabai Merah;12/10/2022;51,35
Cabai Merah;13/10/2022;50,95
Cabai Merah;14/10/2022;50
Cabai Merah;17/10/2022;46,45
Cabai Merah;18/10/2022;45,5
Cabai Merah;19/10/2022;44,65
Cabai Merah;20/10/2022;43,85
Cabai Merah;21/10/2022;43,15
Cabai Merah;24/10/2022;42,6
Cabai Merah;25/10/2022;42,05
Cabai Merah;26/10/2022;41,4
Cabai Merah;27/10/2022;40,8
Cabai Merah;28/10/2022;40,85
Cabai Merah;31/10/2022;39,55
Cabai Merah;01/11/2022;39,55
Cabai Merah;02/11/2022;39,15
Cabai Merah;03/11/2022;38,7
Cabai Merah;04/11/2022;38,6
Cabai Merah;07/11/2022;37,8
Cabai Merah;08/11/2022;37,2
Cabai Merah;09/11/2022;37
Cabai Merah;10/11/2022;36,9
Cabai Merah;11/11/2022;36,9
Cabai Merah;14/11/2022;36,75
Cabai Merah;15/11/2022;36,8
Cabai Merah;16/11/2022;36,55
Cabai Merah;17/11/2022;36,35
Cabai Merah;18/11/2022;36,45
Cabai Merah;21/11/2022;37,2
Cabai Merah;22/11/2022;37,25
Cabai Merah;23/11/2022;37,2
Cabai Merah;24/11/2022;37,15
Cabai Merah;25/11/2022;37
Cabai Merah;28/11/2022;36,85
Cabai Merah;29/11/2022;36,85
Cabai Merah;30/11/2022;36,75
Cabai Merah;01/12/2022;36,85
Cabai Merah;02/12/2022;37
Cabai Merah;05/12/2022;37,7
Cabai Merah;06/12/2022;37,85
Cabai Merah;07/12/2022;38,1
Cabai Merah;08/12/2022;38,25
Cabai Merah;09/12/2022;38,5
Cabai Merah;12/12/2022;38,95
Cabai Merah;13/12/2022;39,1
Cabai Merah;14/12/2022;39,15
Cabai Merah;15/12/2022;38,65
Cabai Merah;16/12/2022;38,35
Cabai Merah;19/12/2022;38,8
Cabai Merah;20/12/2022;39,35
Cabai Merah;21/12/2022;39,4
Cabai Merah;22/12/2022;39,5
Cabai Merah;23/12/2022;39,55
Cabai Merah;26/12/2022;39,7
Cabai Merah;27/12/2022;39,7
Cabai Merah;28/12/2022;39,8
Cabai Merah;29/12/2022;40,05
Cabai Merah;30/12/2022;39,7
Cabai Merah;02/01/2023;42,35
Cabai Merah;03/01/2023;42,45
Cabai Merah;04/01/2023;41,55
Cabai Merah;05/01/2023;41
Cabai Merah;06/01/2023;41
Cabai Merah;09/01/2023;42,1
Cabai Merah;10/01/2023;42,1
Cabai Merah;11/01/2023;42,05
Cabai Merah;12/01/2023;41,8
Cabai Merah;13/01/2023;41,75
Cabai Merah;16/01/2023;41,75
Cabai Merah;17/01/2023;41,25
Cabai Merah;18/01/2023;41,1
Cabai Merah;19/01/2023;40,8
Cabai Merah;20/01/2023;40,45
Cabai Merah;23/01/2023;40,05
Cabai Merah;24/01/2023;40,9
Cabai Merah;25/01/2023;40,85
Cabai Merah;26/01/2023;40,55
Cabai Merah;27/01/2023;40,85
Cabai Merah;30/01/2023;40,75
Cabai Merah;31/01/2023;40,6
Cabai Merah;01/02/2023;40,75
Cabai Merah;02/02/2023;40,7
Cabai Merah;03/02/2023;41,6
Cabai Merah;06/02/2023;42,75
Cabai Merah;07/02/2023;42,9
Cabai Merah;08/02/2023;43,15
Cabai Merah;09/02/2023;43,2
Cabai Merah;10/02/2023;43,05
Cabai Merah;13/02/2023;42,65
Cabai Merah;14/02/2023;42,9
Cabai Merah;15/02/2023;42,95
Cabai Merah;16/02/2023;43,5
Cabai Merah;17/02/2023;43,8
Cabai Merah;20/02/2023;45,95
Cabai Merah;21/02/2023;46,35
Cabai Merah;22/02/2023;46,95
Cabai Merah;23/02/2023;47,1
Cabai Merah;24/02/2023;47,5
Cabai Merah;27/02/2023;46,75
Cabai Merah;28/02/2023;46,5
Cabai Merah;01/03/2023;46,55
Cabai Merah;02/03/2023;46,45
Cabai Merah;03/03/2023;46,05
Cabai Merah;06/03/2023;46,45
Cabai Merah;07/03/2023;46,45
Cabai Merah;08/03/2023;46,55
Cabai Merah;09/03/2023;46,6
Cabai Merah;10/03/2023;46,75
Cabai Merah;13/03/2023;48
Cabai Merah;14/03/2023;48,3
Cabai Merah;15/03/2023;48,6
Cabai Merah;16/03/2023;48,35
Cabai Merah;17/03/2023;48,8
Cabai Merah;20/03/2023;49,55
Cabai Merah;21/03/2023;50,55
Cabai Merah;22/03/2023;49,8
Cabai Merah;23/03/2023;50,5
Cabai Merah;24/03/2023;51,6
Cabai Merah;27/03/2023;48,85
Cabai Merah;28/03/2023;47,3
Cabai Merah;29/03/2023;45,5
Cabai Merah;30/03/2023;44,35
Cabai Merah;31/03/2023;43,45
Cabai Merah;03/04/2023;41,75
Cabai Merah;04/04/2023;41,15
Cabai Merah;05/04/2023;40,8
Cabai Merah;06/04/2023;40,7
Cabai Merah;07/04/2023;40,45
Cabai Merah;10/04/2023;40,6
Cabai Merah;11/04/2023;40,45
Cabai Merah;12/04/2023;40,15
Cabai Merah;13/04/2023;40,15
Cabai Merah;14/04/2023;40,1
Cabai Merah;17/04/2023;44,8
Cabai Merah;18/04/2023;46,9
Cabai Merah;19/04/2023;46,05
Cabai Merah;20/04/2023;46,2
Cabai Merah;21/04/2023;46,15
Cabai Merah;24/04/2023;46,3
Cabai Merah;25/04/2023;46,25
Cabai Merah;26/04/2023;47,8
Cabai Merah;27/04/2023;46,35
Cabai Merah;28/04/2023;44,2
Cabai Merah;01/05/2023;39,05
Cabai Merah;02/05/2023;41
Cabai Merah;03/05/2023;40,2
Cabai Merah;04/05/2023;39,85
Cabai Merah;05/05/2023;39,65
Cabai Merah;08/05/2023;39,3
Cabai Merah;09/05/2023;39,7
Cabai Merah;10/05/2023;39,9
Cabai Merah;11/05/2023;39,9
Cabai Merah;12/05/2023;39,95
Cabai Merah;15/05/2023;41,9
Cabai Merah;16/05/2023;42,4
Cabai Merah;17/05/2023;42,7
Cabai Merah;18/05/2023;42,3
Cabai Merah;19/05/2023;43,05
Cabai Merah;22/05/2023;43,1
Cabai Merah;23/05/2023;43,45
Cabai Merah;24/05/2023;43,25
Cabai Merah;25/05/2023;43,25
Cabai Merah;26/05/2023;43,6
Cabai Merah;29/05/2023;43,85
Cabai Merah;30/05/2023;44,05
Cabai Merah;31/05/2023;43,7
Cabai Merah;01/06/2023;44,7
Cabai Merah;02/06/2023;43,8
Cabai Merah;05/06/2023;43,4
Cabai Merah;06/06/2023;43,3
Cabai Merah;07/06/2023;43,2
Cabai Merah;08/06/2023;42,85
Cabai Merah;09/06/2023;42,5
Cabai Merah;12/06/2023;42,75
Cabai Merah;13/06/2023;42,45
Cabai Merah;14/06/2023;42,15
Cabai Merah;15/06/2023;42,25
Cabai Merah;16/06/2023;41,95
Cabai Merah;19/06/2023;42,7
Cabai Merah;20/06/2023;43,1
Cabai Merah;21/06/2023;42,7
Cabai Merah;22/06/2023;42,55
Cabai Merah;23/06/2023;43
Cabai Merah;26/06/2023;47,75
