tanggal,kurs_usd_idr
2014-12-31,12417
2015-01-02,12516
2015-01-05,12613
2015-01-06,12668
2015-01-07,12714
2015-01-08,12642
2015-01-09,12634
2015-01-12,12605
2015-01-13,12598
2015-01-14,12623
2015-01-15,12534
2015-01-16,12584
2015-01-19,12618
2015-01-20,12554
2015-01-21,12495
2015-01-22,12464
2015-01-23,12480
2015-01-26,12494
2015-01-27,12484
2015-01-28,12508
2015-01-29,12620
2015-01-30,12686
2015-02-02,12706
2015-02-03,12621
2015-02-04,12640
2015-02-05,12612
2015-02-06,12607
2015-02-09,12667
2015-02-10,12698
2015-02-11,12825
2015-02-12,12817
2015-02-13,12799
2015-02-16,12731
2015-02-17,12768
2015-02-18,12880
2015-02-19,12854
2015-02-20,12843
2015-02-23,12929
2015-02-24,12919
2015-02-25,12883
2015-02-26,12846
2015-02-27,12950
2015-03-02,12970
2015-03-03,12995
2015-03-04,12995
2015-03-05,12976
2015-03-06,12936
2015-03-09,13069
2015-03-10,13094
2015-03-11,13176
2015-03-12,13136
2015-03-13,13214
2015-03-16,13241
2015-03-17,13162
2015-03-18,13177
2015-03-19,13049
2015-03-20,13061
2015-03-23,12985
2015-03-24,12922
2015-03-25,12966
2015-03-26,13037
2015-03-27,13024
2015-03-30,13069
2015-03-31,13063
2015-04-01,13038
2015-04-02,13002
2015-04-07,12992
2015-04-08,12941
2015-04-09,12891
2015-04-10,12928
2015-04-13,13005
2015-04-14,12978
2015-04-15,12938
2015-04-16,12845
2015-04-17,12797
2015-04-20,12908
2015-04-21,12958
2015-04-22,12887
2015-04-23,12947
2015-04-24,12954
2015-04-27,12990
2015-04-28,12949
2015-04-29,12919
2015-04-30,12972
2015-05-04,13022
2015-05-05,13067
2015-05-06,13056
2015-05-07,13139
2015-05-08,13124
2015-05-11,13146
2015-05-12,13208
2015-05-13,13121
2015-05-14,13041
2015-05-15,13134
2015-05-18,13143
2015-05-19,13140
2015-05-20,13141
2015-05-21,13132
2015-05-22,13149
2015-05-25,13182
2015-05-26,13213
2015-05-27,13220
2015-05-28,13198
2015-05-29,13229
2015-06-01,13198
2015-06-02,13212
2015-06-03,13245
2015-06-04,13297
2015-06-05,13294
2015-06-08,13350
2015-06-09,13332
2015-06-10,13286
2015-06-11,13307
2015-06-12,13325
2015-06-15,13329
2015-06-16,13344
2015-06-17,13345
2015-06-18,13308
2015-06-19,13320
2015-06-22,13293
2015-06-23,13280
2015-06-24,13303
2015-06-25,13313
2015-06-26,13324
2015-06-29,13355
2015-06-30,13351
2015-07-01,13343
2015-07-02,13331
2015-07-03,13332
2015-07-06,13354
2015-07-07,13335
2015-07-08,13358
2015-07-09,13324
2015-07-10,13287
2015-07-13,13299
2015-07-14,13332
2015-07-15,13336
2015-07-16,13387
2015-07-17,13343
2015-07-20,13418
2015-07-21,13375
2015-07-22,13411
2015-07-23,13418
2015-07-24,13477
2015-07-27,13497
2015-07-28,13446
2015-07-29,13464
2015-07-30,13491
2015-07-31,13555
2015-08-03,13506
2015-08-04,13479
2015-08-05,13514
2015-08-06,13528
2015-08-07,13535
2015-08-10,13526
2015-08-11,13635
2015-08-12,13747
2015-08-13,13835
2015-08-14,13775
2015-08-17,13868
2015-08-18,13814
2015-08-19,13842
2015-08-20,13910
2015-08-21,13939
2015-08-24,14049
2015-08-25,14033
2015-08-26,14108
2015-08-27,13999
2015-08-28,14018
2015-08-31,14061
2015-09-01,14112
2015-09-02,14145
2015-09-03,14205
2015-09-04,14175
2015-09-07,14309
2015-09-08,14276
2015-09-09,14246
2015-09-10,14299
2015-09-11,14301
2015-09-14,14341
2015-09-15,14422
2015-09-16,14432
2015-09-17,14479
2015-09-18,14362
2015-09-21,14471
2015-09-22,14574
2015-09-23,14616
2015-09-24,14753
2015-09-25,14655
2015-09-28,14700
2015-09-29,14675
2015-09-30,14593
2015-10-01,14669
2015-10-02,14651
2015-10-05,14422
2015-10-06,14228
2015-10-07,13751
2015-10-08,13879
2015-10-09,13507
2015-10-12,13440
2015-10-13,13638
2015-10-14,13614
2015-10-15,13453
2015-10-16,13521
2015-10-19,13624
2015-10-20,13686
2015-10-21,13748
2015-10-22,13614
2015-10-23,13585
2015-10-26,13614
2015-10-27,13651
2015-10-28,13535
2015-10-29,13681
2015-10-30,13680
2015-11-02,13653
2015-11-03,13609
2015-11-04,13483
2015-11-05,13555
2015-11-06,13549
2015-11-09,13651
2015-11-10,13632
2015-11-11,13579
2015-11-12,13627
2015-11-13,13716
2015-11-16,13780
2015-11-17,13726
2015-11-18,13825
2015-11-19,13768
2015-11-20,13595
2015-11-23,13680
2015-11-24,13725
2015-11-25,13689
2015-11-26,13766
2015-11-27,13827
2015-11-30,13843
2015-12-01,13813
2015-12-02,13801
2015-12-03,13807
2015-12-04,13846
2015-12-07,13845
2015-12-08,14068
2015-12-09,14041
2015-12-10,13947
2015-12-11,14101
2015-12-14,14136
2015-12-15,14034
2015-12-16,13988
2015-12-17,14025
2015-12-18,13931
2015-12-21,13814
2015-12-22,13662
2015-12-23,13663
2015-12-24,13632
2015-12-28,13654
2015-12-29,13724
2015-12-30,13803
2015-12-31,13815
2016-01-04,13943
2016-01-05,13846
2016-01-06,13954
2016-01-07,13930
2016-01-08,13913
2016-01-11,13846
2016-01-12,13811
2016-01-13,13820
2016-01-14,13913
2016-01-15,13989
2016-01-18,13921
2016-01-19,13811
2016-01-20,13962
2016-01-21,13908
2016-01-22,13835
2016-01-25,13856
2016-01-26,13846
2016-01-27,13860
2016-01-28,13864
2016-01-29,13707
2016-02-01,13640
2016-02-02,13687
2016-02-03,13756
2016-02-04,13627
2016-02-05,13548
2016-02-08,13674
2016-02-09,13623
2016-02-10,13447
2016-02-11,13471
2016-02-12,13492
2016-02-15,13370
2016-02-16,13432
2016-02-17,13487
2016-02-18,13489
2016-02-19,13508
2016-02-22,13445
2016-02-23,13395
2016-02-24,13447
2016-02-25,13411
2016-02-26,13370
2016-02-29,13372
2016-03-01,13337
2016-03-02,13306
2016-03-03,13235
2016-03-04,13135
2016-03-07,13090
2016-03-08,13143
2016-03-09,13171
2016-03-10,13050
2016-03-11,13061
2016-03-14,13044
2016-03-15,13178
2016-03-16,13267
2016-03-17,13040
2016-03-18,13081
2016-03-21,13198
2016-03-22,13176
2016-03-23,13214
2016-03-24,13253
2016-03-29,13362
2016-03-30,13250
2016-03-31,13197
2016-04-01,13128
2016-04-04,13148
2016-04-05,13228
2016-04-06,13254
2016-04-07,13160
2016-04-08,13145
2016-04-11,13131
2016-04-12,13091
2016-04-13,13159
2016-04-14,13192
2016-04-15,13172
2016-04-18,13171
2016-04-19,13099
2016-04-20,13159
2016-04-21,13125
2016-04-22,13203
2016-04-25,13196
2016-04-26,13217
2016-04-27,13196
2016-04-28,13186
2016-04-29,13185
2016-05-02,13160
2016-05-03,13205
2016-05-04,13316
2016-05-05,13341
2016-05-06,13369
2016-05-09,13283
2016-05-10,13308
2016-05-11,13283
2016-05-12,13286
2016-05-13,13318
2016-05-16,13308
2016-05-17,13319
2016-05-18,13389
2016-05-19,13615
2016-05-20,13625
2016-05-23,13583
2016-05-24,13680
2016-05-25,13641
2016-05-26,13603
2016-05-27,13572
2016-05-30,13645
2016-05-31,13609
2016-06-01,13669
2016-06-02,13648
2016-06-03,13579
2016-06-06,13360
2016-06-07,13247
2016-06-08,13206
2016-06-09,13288
2016-06-10,13295
2016-06-13,13322
2016-06-14,13356
2016-06-15,13367
2016-06-16,13398
2016-06-17,13326
2016-06-20,13258
2016-06-21,13262
2016-06-22,13284
2016-06-23,13137
2016-06-24,13409
2016-06-27,13397
2016-06-28,13182
2016-06-29,13144
2016-06-30,13153
2016-07-01,13110
2016-07-04,13097
2016-07-05,13128
2016-07-06,13206
2016-07-07,13180
2016-07-08,13193
2016-07-11,13103
2016-07-12,13122
2016-07-13,13046
2016-07-14,13052
2016-07-15,13088
2016-07-18,13091
2016-07-19,13088
2016-07-20,13106
2016-07-21,13117
2016-07-22,13115
2016-07-25,13137
2016-07-26,13175
2016-07-27,13144
2016-07-28,13103
2016-07-29,13102
2016-08-01,13033
2016-08-02,13069
2016-08-03,13160
2016-08-04,13155
